Name,Also known as,Gender,Eyes,Hair,Beard,Moustache,Big nose,Glasses,Hat,Introduced,Retired,Notes
Al,Alfred;Stephen,Male,Blue,Light brown,No,Yes,No,No,No,1980,—,
Alex,—,Male,Brown,Black,No,Yes,No,No,No,1980,2018,
Amy,—,Female,Brown,Highlights,No,No,No,Yes,No,2018,—,
Anita,—,Female,Blue,Blonde,No,No,No,No,No,1980,2018,
Anne,—,Female,Brown,Black,No,No,Yes,No,No,1980,2018,Absent from 1998–2002
Ben,—,Male,Brown,Dark brown,No,No,Yes,Yes,No,2018,—,
Bernard,—,Male,Brown,Dark brown,No,No,Yes,No,Yes,1980,2018,
Betty,—,Female,Blue,White,No,No,No,Yes,No,1999,2001,
Bill,Phillipe,Male,Brown,Light brown,Yes,No,No,No,No,1980,2018,
Carmen,—,Female,Brown,White,No,No,No,No,No,2002,—,
Charles,Hans,Male,Brown,Blonde,No,Yes,No,No,No,1980,2018,
Claire,Sarah,Female,Brown,Light brown,No,No,No,Yes,Yes,1980,2018,
Daniel,—,Male,Green,Light brown,Yes,Yes,Yes,No,No,2018,—,
David,Luke;Lucas,Male,Brown,Blonde,Yes,No,No,No,Yes,1980,—,
Emma,—,Female,Brown,Light brown,No,No,No,No,No,2018,—,
Eric,—,Male,Brown,Blonde,No,No,No,No,Yes,1980,—,
Farah,—,Male,Blue,Black,No,No,No,No,No,2018,—,
Frans,Frank,Male,Brown,Light brown,No,No,No,No,No,1980,1998,
Gabe,—,Male,Brown,Black,No,No,No,No,No,2018,—,
George,Joe,Male,Brown,White,No,No,No,No,Yes,1980,2001,
Herman,—,Male,Brown,Light brown,No,No,Yes,No,No,1980,2018,
Holly,Kaitlin,Female,Brown,Dark brown,No,No,No,No,No,1999,2018,
Joe,—,Male,Brown,Blonde,No,No,No,Yes,No,1980,—,Absent from 1998–2002
Jordan,—,Male,Brown,Highlights,Yes,Yes,No,No,No,2018,—,
Katie,—,Female,Blue,Blonde,No,No,No,No,Yes,2018,—,
Laura,—,Female,Green,Black,No,No,No,No,No,2018,—,
Leo,—,Male,Brown,White,No,Yes,No,No,No,2018,—,
Lily,—,Female,Green,Dark brown,No,No,No,No,Yes,2018,—,
Liz,—,Female,Blue,White,No,No,No,Yes,No,2018,—,
Maria,—,Female,Brown,Dark brown,No,No,No,No,Yes,1980,2018,
Max,Theo,Male,Brown,Dark brown,No,Yes,Yes,No,No,1980,2018,
Mia,—,Female,Brown,Black,No,No,No,No,No,2018,—,
Mike,—,Male,Brown,Black,No,No,No,No,Yes,2018,—,
Nick,—,Male,Brown,Blonde,No,No,Yes,No,No,2018,—,
Olivia,—,Female,Brown,Highlights,No,No,No,No,No,2018,—,
Paul,—,Male,Brown,White,No,No,No,Yes,No,1980,2018,
Peter,—,Male,Blue,White,No,No,Yes,No,No,1980,2018,Absent from 1998–2002
Philip,Max;Mario,Male,Brown,Black,Yes,No,No,No,No,1980,2018,
Rachel,—,Female,Blue,Dark brown,No,No,No,Yes,No,2018,—,
Richard,Roger,Male,Brown,Dark brown,Yes,Yes,No,No,No,1980,2018,
Robert,—,Male,Blue,Dark brown,No,No,Yes,No,No,1980,1999,
Sally,Sophie,Female,Brown,Black,No,No,No,No,No,1999,2018,
Sam,Charles,Male,Brown,White,No,No,No,Yes,No,1980,—,
Sofia,—,Female,Green,Dark brown,No,No,No,No,No,2018,—,
Susan,—,Female,Brown,White,No,No,No,No,No,1980,1998,
Tom,Albert;Daniel,Male,Blue,Black,No,No,No,Yes,No,1980,2018,
Victor,—,Male,Brown,White,No,No,No,No,No,1999,2018,